Author,Count
毛泽东,1
岑参,2
杜甫,2
张岱,2
卢钺,2
韩愈,1
刘长卿,1
刘义庆,1
白居易,4
李白(一说袁绹),1
陆游,1
祖咏,1
罗隐,1
郑燮,2
纳兰性德,3
高骈,1
马致远,1
李白,1
吕本中,1
袁枚,1
杨万里,2
刘方平,1
王维,1
戎昱,1
孙周卿,1
周邦彦,4
宋之问,1
李商隐,2
贾岛,1
谢惠连,1
吴均,1
姜夔,1
孙道绚,1
洪升,1
张孝祥,1
李世民,1
王旭,1
完颜亮,1
东方虬,1
张可久,2
苏轼,2
戴叔伦,1
柳宗元,1
史达祖,1
杨朝英,1
张孜,1
欧阳修,1
鲍照,1
毛滂,1
杜荀鹤,1
范成大,1
释敬安,1
阴铿,1
陈允平,1
薛昂夫,1
大须,1
邓廷桢,1
吴文英,3
吴伟业,1
温庭筠,1
辛弃疾,2
董以宁,1
吴殳,1
张鸣善,1
环山樵,1
张继,1
郑谷,1
李峤,1
黄庭坚,1
周密,1
高适,3
沈周,1
杨士奇,1
尤袤,1
孟浩然,1
陆文圭,1
陆龟蒙,1
吴澄,1
